track_id,target_id,method_id,metric_id,score
13,0,0,3,17.302715
13,4,0,0,15.60436
13,4,0,1,3.892395
13,4,0,2,0.42478499999999997
13,4,0,3,1.50274
14,0,0,0,13.717880000000001
14,0,0,1,6.8086
14,0,0,2,6.753195
14,0,0,3,12.179275
14,4,0,0,9.623445
14,4,0,1,2.0009300000000003
14,4,0,2,3.31
14,4,0,3,7.08328
15,0,0,0,12.834405
15,0,0,1,7.90447
15,0,0,2,7.50912
15,0,0,3,15.355075
15,4,0,0,9.524149999999999
15,4,0,1,1.26023
15,4,0,2,0.561245
15,4,0,3,3.913545
16,0,0,0,10.759795
16,0,0,1,6.870635
16,0,0,2,7.1127400000000005
16,0,0,3,18.32979
16,4,0,0,11.255279999999999
16,4,0,1,0.324625
16,4,0,2,-0.52325
16,4,0,3,-0.170215
17,0,0,0,5.88824
17,0,0,1,2.569125
17,0,0,2,2.96077
17,0,0,3,14.64016
17,4,0,0,14.516680000000001
17,4,0,1,3.797095
17,4,0,2,-0.47196499999999997
17,4,0,3,1.062675
18,0,0,0,11.77895
18,0,0,1,8.25319
18,0,0,2,9.02871
18,0,0,3,20.738235000000003
18,4,0,0,15.30792
18,4,0,1,3.11491
18,4,0,2,1.119745
18,4,0,3,3.8670850000000003
19,0,0,0,19.75419
19,0,0,1,8.624625
19,0,0,2,7.725239999999999
19,0,0,3,13.845645
19,4,0,0,10.1762
19,4,0,1,2.605025
19,4,0,2,3.436775
19,4,0,3,14.30586
20,0,0,0,7.993575
20,0,0,1,3.406015
20,0,0,2,4.56263
20,0,0,3,15.9901
20,4,0,0,14.26513
20,4,0,1,2.34104
20,4,0,2,-0.7654650000000001
20,4,0,3,0.9937199999999999
21,0,0,0,5.66018
21,0,0,1,3.4496849999999997
21,0,0,2,2.87272
21,0,0,3,16.176535
21,4,0,0,21.198785
21,4,0,1,7.9852050000000006
21,4,0,2,3.22572
21,4,0,3,5.922495
22,0,0,0,9.464665
22,0,0,1,4.503415
22,0,0,2,4.82346
22,0,0,3,13.166405000000001
22,4,0,0,14.9596
22,4,0,1,5.340045
22,4,0,2,3.43749
22,4,0,3,7.043005
23,0,0,0,9.1571
23,0,0,1,5.929045
23,0,0,2,6.0322
23,0,0,3,15.39105
23,4,0,0,11.698295
23,4,0,1,3.403505
23,4,0,2,2.17551
23,4,0,3,3.656275
24,0,0,0,6.116045
24,0,0,1,2.44055
24,0,0,2,2.419105
24,0,0,3,16.654825
24,4,0,0,8.83432
24,4,0,1,1.17154
24,4,0,2,-10.540485
24,4,0,3,-10.244435
25,0,0,0,10.244905
25,0,0,1,7.32253
25,0,0,2,7.533195
25,0,0,3,16.92485
25,4,0,0,11.87842
25,4,0,1,2.631135
25,4,0,2,1.1351849999999999
25,4,0,3,2.286725
26,0,0,0,5.976395
26,0,0,1,3.31264
26,0,0,2,3.5629600000000003
26,0,0,3,15.63515
26,4,0,0,18.04823
26,4,0,1,6.352225
